# Rime table
# coding: utf-8
#@/db_name	custom_phrase.txt
#@/db_type	tabledb
#
# 自定义短语
# 可为方案增加一些要置顶的词汇及短语，例如邮箱、手机号、常用短语等等。编码可以随便起，不限于拼音。
#
# 适用于全拼。双拼默认为 custom_phrase_double.txt 需要手动创建，并更改上面的 db_name 为 custom_phrase_double.txt
#
# 以下固定的词汇及顺序纯属个人偏好，仅作示例，
# 可以增加自己的 .txt 文件，并在方案的 custom_phrase/user_dict 指定为自己的文件。
#
# 以 Tab 分割：词汇<Tab>编码<Tab>权重
#
# 这个文件内的字词会占据最高权重（即排在候选项的最前面，因为指定了高权重 custom_phrase/initial_quality: 99）。
# 但不与其他翻译器互相造词，如果使用了完整编码，那么这个字或词将无法参与造词，即自造词无法被记住。
# 所以只建议固定非完整拼音的编码，如果需求是置顶指定拼音的候选项，请参考方案中的 pin_cand_filter。
#
# 最下面的英文是因为一些常用单词的第一候选项被纠错覆盖了，如 Amazon 被纠错为「a ma zong 阿妈粽」，期望的 Amazon 跑到第二个候选项了，所以这里给它固定死喽。
#
# version: "2024-03-12"
#
# 此行之后不能写注释

噷	hm
呣	m
呒	m

有	u	3
又	u	2
由	u	1

一	i	4
以	i	3
已	i	2
亦	i	1

一个	ig
有个	ug
是一个	sig
有一个	uig
有一个	uyig
有一个	uyige
有没有	umu
有没有	umeiu
又有	uu
又又又	uuu
又双叒叕	uuuu

go	go
Golang	golang
Hugo	hugo
goto	goto
domain	domain
TODO	todo
Dota	dota
main	main
Amazon	amazon
NASA	nasa
gone	gone
Go程	gocheng
code	code
SOHO	soho


A股	agu
AA制	aazhi
AB角	abjiao
AB制	abzhi
ABC	abc
ABS	abs
ADSL	adsl
AI	ai
AIDS	aids
AM	am
APC	apc
APEC	apec
API	api
AQ	aq
ATM机	atmji
AV	av
B超	bchao
B股	bgu
B淋巴细胞	blinbaxibao
B细胞	bxibao
B2B	b2b
B2C	b2c
BBC	bbc
BBS	bbs
BD	bd
BEC	bec
BP机	bpji
BRT	brt
C2C	c2c
CAD	cad
CAI	cai
CATV	catv
CBA	cba
CBD	cbd
CCC	ccc
CCD	ccd
CCTV	cctv
CD	cd
CDC	cdc
CDMA	cdma
CD-R	cdr
CD-ROM	cdrom
CD-RW	cdrw
CEO	ceo
CEPA	cepa
CET	cet
CFO	cfo
CI	ci
CIA	cia
CIMS	cims
CIP	cip
CISR	cisr
CMOS	cmos
CNN	cnn
CPA	cpa
CPI	cpi
CPU	cpu
CRT	crt
CT	ct
γ刀	dao
DC	dc
DIY	diy
DJ	dj
DNA	dna
DNA芯片	dnaxinpian
DOS	dos
DSL	dsl
DV	dv
DVD	dvd
e化	ehua
EBD	ebd
ECFA	ecfa
ED	ed
EDI	edi
E-mail	email
EMBA	emba
EMS	ems
EQ	eq
ETC	etc
EV	ev
F1	f1
FAX	fax
FBI	fbi
FM	fm
FTA	fta
GB	gb
GDP	gdp
GIS	gis
GMAT	gmat
GMP	gmp
GNP	gnp
GPS	gps
GRE	gre
GSM	gsm
H股	hgu
HDMI	hdmi
HDTV	hdtv
hi-fi	hifi
HIV	hiv
HR	hr
HSK	hsk
IC卡	icka
ICP	icp
ICU	icu
IDC	idc
IMAX	imax
IMF	imf
IOC	ioc
IP地址	ipdizhi
IP电话	ipdianhua
IP卡	ipka
IPO	ipo
IPTV	iptv
IQ	iq
ISBN	isbn
ISO	iso
ISP	isp
ISSN	issn
IT	it
ITS	its
K粉	kfen
K歌	kge
K金	kjin
K线	kxian
KTV	ktv
LCD	lcd
LD	ld
LED	led
α粒子	lizi
β粒子	lizi
LPG	lpg
M0	m0
M1	m1
M2	m2
MBA	mba
MP3	mp3
MP4	mp4
MPA	mpa
MPEG	mpeg
MRI	mri
MTV	mtv
MV	mv
NBA	nba
NCAP	ncap
NG	ng
NGO	ngo
NHK	nhk
NMD	nmd
O2O	o2o
OA	oa
OCR	ocr
OEM	oem
OL	ol
OLED	oled
OPEC	opec
OTC	otc
PC	pc
PC机	pcji
PDA	pda
PDP	pdp
PE	pe
PET	pet
PETS	pets
pH值	phzhi
PK	pk
PM10	pm10
PM2.5	pm2.5
PMI	pmi
POS机	posji
PPA	ppa
PPI	ppi
PS	ps
PSC	psc
PT	pt
PVC	pvc
Q版	qban
QC	qc
QDII	qdii
QFII	qfii
QQ	qq
QS	qs
RAM	ram
RFID	rfid
RMB	rmb
RNA	rna
ROM	rom
RS	rs
SARS	sars
SCI	sci
SDR	sdr
γ射线	shexian
α射线	shexian
β射线	shexian
SIM卡	simka
SNG	sng
SNS	sns
SOHO	soho
SOS	sos
SOS儿童村	sosertongcun
SSD	ssd
ST	st
STD	std
SUV	suv
T淋巴细胞	tlinbaxibao
T细胞	txibao
T型台	txingtai
T恤衫	txushan
Tel	tel
TMD	tmd
TNT	tnt
TV	tv
U盘	upan
UFO	ufo
UHD	uhd
USB	usb
UV	uv
VCD	vcd
VCR	vcr
VIP	vip
VOD	vod
VR	vr
vs	vs
WAP	wap
WC	wc
WHO	who
Wi-Fi	wifi
WSK	wsk
WTO	wto
WWW	www
X刀	xdao
X光	xguang
X染色体	xranseti
X射线	xshexian
X线	xxian
Y染色体	yranseti
